company,marked_segment,address,phone_number,website
"Viattence, locatie De Speulbrink",Verpleeghuiszorg,"Brunholdplaats 5, Vaassen",0578-668449,http://www.viattence.nl
Zuyderland Zorgcentra - De Egthe,Verpleeghuiszorg,"De Egthe 1, Echt",047–5417777,https://www.zuyderland.nl
Apotheek de Slimme Watering,Farmacie,"Kerklaan 35, Schiedam",010-2470226,http://www.apotheekdeslimmewatering.nl
HSK Online | Interapy,Geestelijke gezondheidszorg,"Kingsfordweg 151, Amsterdam",088-1155845,https://www.hsk.nl/online-therapie
"MeanderGroep, Wijkzorgcentrum Heereveld",Verpleeghuiszorg,"Kloosterstraat 25, Landgraaf",045-5312988,http://www.meandergroep.com
Amare Zorgcoaching,Jeugdzorg,"Bosscheweg 67, Drunen",0416–383932,https://amarezorg.nl
"Treant, Woonzorgcentrum De Paasbergen",Verpleeghuiszorg,"Paasbergen 1, Odoorn",0900-0591,http://www.treant.nl
De Zorgprofs,Wijkverpleging,"Stephensonstraat 45, Zoetermeer",085-0509410,https://www.dezorgprofs.nl
"Dignis, Verpleeghuis 't Blauwbörgje",Verpleeghuiszorg,"Zonnelaan 8, Groningen",050-5474940,http://www.dignis.nl/locaties/verpleeghuis-t-blauwborgje/
"Azora, Woonzorgcentrum en verpleeghuis De Meulenbeek",Verpleeghuiszorg,"Keurkamer 10, Ulft",0315-685541,https://www.azora.nl
Thuiszorg De Wijngaerd,Wijkverpleging,"Cyclaamstraat 2 A, Made",0162-241200,https://www.dewijngaerd.nl/
WelThuis De Zevenster,Verpleeghuiszorg,"Leliestraat 3, Zevenhuizen",088-4262160,https://www.welthuis.nl/
"SZR, Vrijthof",Verpleeghuiszorg,"Burgemeester Meslaan 49, Tiel",0800-0588,http://www.szr.nl
"Oosterlengte, locatie 't Vondelhuys",Verpleeghuiszorg,"Vondellaan 75, Winschoten",0597-452400,http://www.oosterlengte.nl
ABR Zorgt,Wijkverpleging,"De Wederik 12, Papendrecht",078-7852983,https://www.abrzorgt.nl
"Jellinek, locatie: High Care Detox",Verslavingszorg,"Vlaardingenlaan 5, Amsterdam",088-5051220,https://www.jellinek.nl/
"Laverhof, locatie Mgr. Bekkershuis",Verpleeghuiszorg,"Deken Baekersstraat 83, Schijndel",073-5442700,http://www.laverhof.nl
"Riwis Zorg en Welzijn, sector Ouderenzorg",Organisatie,"Bovenkruier 47, Apeldoorn",0900-2424241 (Zorgservice),https://www.riwis.nl
"WZU Veluwe, Woonzorgcentrum De Bunterhoek",Verpleeghuiszorg,"Secr. Boerhoutweg 11, Nunspeet",0341-252844,http://www.wzuveluwe.nl
"ActiVite, locatie SassemBourg",Verpleeghuiszorg,"Jan van Brabantweg 7, Sassenheim",http://www.activite.nl,http://www.activite.nl
"Liemerije, Meulenvelden",Verpleeghuiszorg,"Waverlo 8, Didam",0316-293100,http://www.liemerije.nl
Wilgaerden Wijkzorg Kersenboogerd,Wijkverpleging,"Betsy Perk 17, Hoorn",0229–272177,http://www.wilgaerden.nl
Ommelander Ziekenhuis Groningen,Organisatie,"Pastorieweg 1, Scheemda",088-0661000,https://www.ommelanderziekenhuis.nl
"WZU Veluwe, sector Thuiszorg Wapenveld",Wijkverpleging,"De Vree 1, Wapenveld",038-3036000,https://www.wzuveluwe.nl/
Ommelander Ziekenhuis Groningen,Medisch specialistische zorg,"Pastorieweg 1, Scheemda",088-0661000,https://www.ommelanderziekenhuis.nl
Amstelring Wijkteam De Molen,Wijkverpleging,"Smeenklaan 1, Amstelveen",06-21596197,https://amstelringwijkzorg.nl
"Attent Zorg en Behandeling, Beverode",Verpleeghuiszorg,"Admiraal Helfrichlaan 12, Dieren",088-9901400,http://www.attentzorgenbehandeling.nl
"IJsselheem, De Hazelaar",Verpleeghuiszorg,"Het Gasthuysland 300, Hasselt",038-4771559,http://www.ijsselheem.nl
"Sevagram, Campagne",Verpleeghuiszorg,"Medoclaan 66, Maastricht",043-3549180,https://www.sevagram.nl/
"Zorggroep Almere, Woonzorgcentrum Polderburen",Verpleeghuiszorg,"Schietwilgsingel 2, Almere",036-5485650,https://www.zorggroep-almere.nl/woonzorgcentrum/polderburen/
"Saffier, WoonZorgPark Loosduinen",Verpleeghuiszorg,"Willem III-straat 36, Den Haag",0800-7233437,http://www.saffiergroep.nl/
"Stichting PCSOH, Verzorgingscentrum Westerkim",Verpleeghuiszorg,"Zaaiersstraat 1, Nieuw-Vennep",0252-623623,http://www.pcsoh.nl
"Livio, De Cromhoff Verpleeghuiszorg",Verpleeghuiszorg,"Bleekhofstraat 300, Enschede",0900-9200,https://www.livio.nl
"TSN Zorg, Woonzorgcentrum De Ebbingepoort",Verpleeghuiszorg,"Noorderbinnensingel 2, Groningen",050-3139590,https://tsnzorg.nl
HSK Ede,Geestelijke gezondheidszorg,"Galvanistraat 1, Ede",088-1155855,https://www.hsk.nl
InteraktContour,Organisatie,"Elspeterweg 22, Nunspeet",0341-255777,https://www.interaktcontour.nl/
"Joris Zorg, Zorgcentrum Groenendaal",Verpleeghuiszorg,"Den Hofpad 1, Vessem",0497-591888,http://www.joriszorg.nl
"Nusantara, locatie Rumah Saya",Verpleeghuiszorg,"Klein Hattem 34, Ugchelen",088-5390800,https://www.nusantara.nl
"Thuiszorg De Zellingen, locatie Capelle aan den IJssel",Wijkverpleging,"Rhijnspoor 219, Capelle aan den IJssel",010-4420800,http://www.zellingen.nl
"Zonnehuisgroep Amstelland, Zonnehuis Bovenkerk",Verpleeghuiszorg,"Salamander 2, Amstelveen",0900-0401441,http://www.zhga.nl
Basalt,Organisatie,"Vrederustlaan 180, Den Haag",070-3593593,http://www.basaltrevalidatie.nl
"Zorggroep Liante, locatie Sickenga-Oord",Verpleeghuiszorg,"Sickengaoord 1, Wolvega",0561-693440,http://www.sickenga-oord.nl
"Accolade Zorg, locatie d'Amandelboom",Verpleeghuiszorg,"Noord Houdringelaan 82, Bilthoven",030-2295600,http://www.accoladezorg.nl
"ActiVite, locatie Agnesstaete",Verpleeghuiszorg,"Kerkweg 4, Voorhout",0252-211437,http://www.activite.nl
Concentrix Thuiszorg,Organisatie,"Groenoordweg 6, Spijkenisse",085-0220550,https://www.concentrixthuiszorg.nl/
Concentrix Thuiszorg Volwassenen,Wijkverpleging,"Groenoordweg 6, Spijkenisse",085-0220550,https://www.concentrixthuiszorg.nl/
Heliomare revalidatiecentrum,Revalidatiezorg,"Relweg 51, Wijk aan Zee",088-9208888,http://www.heliomare.nl
"Warande, Wooncentrum Schutsmantel",Verpleeghuiszorg,"Gregoriuslaan 35, Bilthoven",030-2286911,http://www.warandeweb.nl
"De Zorgcirkel, locatie De Viervorst",Verpleeghuiszorg,"Primulastraat 82, Purmerend",088-5599500,https://www.zorgcirkel.nl
"Joris Zorg, Zorgcentrum Vestakker",Verpleeghuiszorg,"Ganzeakkers 5, Middelbeers",013-5142934,http://www.joriszorg.nl
"Zorggroep Drenthe, De Vijverhof",Verpleeghuiszorg,"Vredeveldseweg 75, Assen",0592-316225,http://www.zorggroepdrenthe.nl
Cardia Thuiszorg en PG casemanagement Den Haag - Zuid-West,Wijkverpleging,"Mozartlaan 280, Den Haag",http://www.cardia.nl,http://www.cardia.nl
Mijzo - De Kloosterhoeve,Verpleeghuiszorg,"Kloosterweg 1, Raamsdonksveer",0162-582800,https://www.mijzo.nl/
"Noorderzorg, De Mieden",Verpleeghuiszorg,"Hoofdstraat 61 A, Uithuizermeeden",0595-405222,http://www.noorderzorg.nl
"De Wever, Reyshoeve",Verpleeghuiszorg,"Gendringenlaan 15, Tilburg",013-5785785,http://www.dewever.nl
De Woudvaart Dental,Organisatie,"Birdaarderstraatweg 80 g, Dokkum",0519-293770,
Tandartspraktijk de Woudvaart,Mondzorg,"Birdaarderstraatweg 80 G, Dokkum",0519-293770,http://www.dokkumtandarts.nl
"Zorggroep Drenthe, Spectrum",Verpleeghuiszorg,"Esweg 40, Beilen",0593-523455,http://www.zorggroepdrenthe.nl
"Amstelring, Wooncentrum Willem Drees - Oostpoort",Verpleeghuiszorg,"Polderweg 304, Amsterdam",020-7561307,http://www.amstelring.nl/willemdrees
Cardia Thuiszorg en PG Casemanagement Den Haag - Scheveningen,Wijkverpleging,"Neptunusstraat 1, Den Haag",http://www.cardia.nl,http://www.cardia.nl
CZdirect,Zorgverzekeringen,"Ringbaan-West 236, Tilburg",088-5557777,http://www.czdirect.nl
Proteion Zorgcentrum De Kreppel,Verpleeghuiszorg,"Catharina Daemenstraat 1, Heythuysen",088-8502100,https://www.proteion.nl/
Vitalis Wilgenhof Thuiszorg,Wijkverpleging,"Gasthuisstraat 1, Eindhoven",040-2202202,http://www.vitalisgroep.nl
"Zorggroep Maas en Waal, locatie De Kasteelhof",Verpleeghuiszorg,"Kasteelhof 50, Druten",0487-587100,http://www.zmw.nl
Castle Craig Amsterdam,Verslavingszorg,"Naritaweg 108, Amsterdam",088-7707077,http://www.castlecraig.nl
"Argos Zorggroep, Meeuwenhof",Verpleeghuiszorg,"Alverstraat 141, Hoogvliet",010-2951888,http://www.argoszorggroep.nl/huizen/meeuwenhof/
Thuiszorg Hart voor Nederland,Wijkverpleging,"Molensteijn 3 F, De Meern",030-2676717,https://www.thuiszorghvn.nl/
"Atlant, locatie Marken Haven",Verpleeghuiszorg,"Kuiltjesweg 1 A, Beekbergen",055-5295000,http://www.atlant.nl
Medispec Care,Wijkverpleging,"Postbus 321, Barendrecht",0180-625508,https://www.medispeccare.com
Ouderenzorg De Annenborch,Organisatie,"De Hoef 100, Rosmalen",073-8519600,http://www.annenborch.nl
Thuisgenoten Thuiszorg Hengelo,Wijkverpleging,"Breemarsweg 262, Hengelo",088-0881530,https://www.thuisgenoten.nl
"Vierstroom Zorg Thuis, Wijkteam Krimpen aan den IJssel 2",Wijkverpleging,"Groenendaal 1, Krimpen aan den IJssel",088-0444888,http://www.vierstroom.nl
"Zorggroep Drenthe, Mozaiek",Verpleeghuiszorg,"Ludinge 13, Zuidlaren",050-4093200,http://www.zorggroepdrenthe.nl
"Zorggroep Ter Weel, Zorgcentrum Randhof",Verpleeghuiszorg,"'s-Heer Elsdorpweg 18, Goes",0113-223530,http://www.terweel.nl
Evean Kleinschalig Wonen Rietvelden,Verpleeghuiszorg,"De Zevenster 3, Wormerveer",https://www.evean.nl/locatie/rietvelden,https://www.evean.nl/locatie/rietvelden
"Markenheem, Zorgcentrum Schavenweide",Verpleeghuiszorg,"Schavenweide 2, Doetinchem",0314-333651,http://www.markenheem.nl
's Heeren Loo Gelderland Midden,Zorg voor mensen met een beperking,"Apeldoornseweg 60, Wekerom",0800-3555555,https://www.sheerenloo.nl
Thuiszorg Pantein - Sint-Oedenrode (gemeente Meierijstad),Wijkverpleging,"Neulstraat 29, Sint-Oedenrode",0900-8803,https://www.thuiszorgpantein.nl/
Wijkverpleging Carpe Diem,Wijkverpleging,"Cruquiuskade 251, Amsterdam",06-37194884,http://www.wijkverplegingcarpediem.nl/
"Wilgaerden, locatie Noorderlandhuis",Verpleeghuiszorg,"Raadhuisplein 92, Hoogkarspel",02228-530250,http://www.wilgaerden.nl
"Livio, De Hatteler Verpleeghuiszorg",Verpleeghuiszorg,"Gerard Terborghplein 1, Enschede",0900-9200,https://www.livio.nl
"ZorgSaam Thuiszorg, wijkteam Hulst Blaauwe Hofke",Wijkverpleging,"Truffinoweg 2, Hulst",0114-383500,https://www.zorgsaam.org
"Anna Ouderenzorg, Dagbehandeling",Overige zorg,"Grote Bos 8, Geldrop",088-5677700,http://www.annaouderenzorg.nl
"AxionContinu, woonzorgcentrum Voorhoeve",Verpleeghuiszorg,"Trumanplein 1, Utrecht",030-2953853,https://www.axioncontinu.nl
"Treant, Woonzorgcentrum De Schoel",Verpleeghuiszorg,"Molenerf 48, Sleen",0900-0591,http://www.treant.nl
"Zorggroep Drenthe, De Wenning",Verpleeghuiszorg,"Molencamp 41, Rolde",0592-241137,http://www.zorggroepdrenthe.nl
"Atlant, locatie Sprengenhof",Verpleeghuiszorg,"Dr. Piekemalaan 33, Ugchelen",055-5496300,https://www.atlant.nl/
"IJsselheem, De Schans",Verpleeghuiszorg,"Purperreigerlaan 34, Zwartsluis",038-3867133,http://www.ijsselheem.nl
"Solis Thuiszorg, locatie De Bloemendal",Wijkverpleging,"Het Laar 1, Deventer",0570-698298,https://zorggroepsolis.nl/
Thebe Don Sarto,Verpleeghuiszorg,"Don Sartostraat 66, Tilburg",088-1172501,http://www.thebe.nl
"Florence, Woonzorgcentrum Vredenburch",Verpleeghuiszorg,"Van Vredenburchplantsoen 1, Rijswijk",070-7545300,http://www.florence.nl
Hollandse Zorg Groep,Wijkverpleging,"Wilgenlaan 3, Berkel en Rodenrijs",085-1309900,http://www.hollandsezorggroep.nl
Opella Woon- en zorgcentrum De Nudehof,Verpleeghuiszorg,"Thorbeckestraat 1, Wageningen",0318-752222,http://www.opella.nl
"Saffier, Huize Royal / Royal Rustique",Verpleeghuiszorg,"Rusthoekstraat 38, Den Haag",0800-7233437,http://www.saffiergroep.nl/
"Saffier, Nebo",Verpleeghuiszorg,"Floris Arntzeniusplein 65, Den Haag",070-3123737,https://www.saffiergroep.nl/locaties/nebo
"Zorggroep Zaanstreek, Zorgcentrum Mennistenerf",Verpleeghuiszorg,"H. Gerhardstraat 77, Zaandam",075-6123262,http://www.mennistenerf.nl
"Geriatrisch Revalidatiecentrum IJsselheem, locatie Isala",Revalidatiezorg,"Dokter van Heesweg 2, Zwolle",038-4242611,http://www.ijsselheem.nl
Allévo,Organisatie,"Hollandiaplein 1, Goes",088-1102800,http://www.allevo.nl
Buurtzorgpension Zierikzee,Verpleeghuiszorg,"Koning Gustaafweg 2, Zierikzee",06-23669598,https://www.buurtzorgpension.nl/vestigingen/zierikzee/
"Livio, Twekkelerveld Verpleeghuiszorg",Verpleeghuiszorg,"Schorpioenstraat 33, Enschede",0900-9200,https://www.livio.nl
"Oosterlengte, locatie De Tjamme",Verpleeghuiszorg,"Hoofdstraat 261, Beerta",0597-596200,http://www.oosterlengte.nl
ViVa! Zorggroep,Organisatie,"Parlevinkerstraat 23, Velsen-Noord",088-9958000,http://www.vivazorggroep.nl
"Treant, Ouderenzorg en verpleegzorg",Organisatie,"Postbus 2006, Hoogeveen",0528-286222,http://www.treant.nl
IJsselheem,Organisatie,"Engelenbergplantsoen 3, Kampen",038-3394400,http://www.ijsselheem.nl
Apotheek de Hoefslag,Farmacie,"Hoefslag 1 A, Barendrecht",0180-691818,http://www.apotheekdehoefslag.nl
Zonnehuisgroep Amstelland,Organisatie,"Groenelaan 7, Amstelveen",0900-0401441,http://www.zhga.nl
DrieGasthuizenGroep,Organisatie,"Rijnstraat 71, Arnhem",026-3549415,http://www.driegasthuizengroep.nl
Zilveren Kruis,Zorgverzekeringen,"Dellaertweg 1, Leiden",071-7510052,http://www.zilverenkruis.nl
Zorggroep Apeldoorn en omstreken,Organisatie,"Zr. Meyboomlaan 10, Apeldoorn",055-5495249,http://www.zorggroepapeldoorn.nl
Dignis,Organisatie,"Postbus 8089, Groningen",088-1146565,http://www.dignis.nl
WelThuis,Organisatie,"Postbus 571, Gouda",088-4262160,http://www.welthuis.nl
Joris Zorg,Organisatie,"Sint Jorisstraat 1, Oirschot",0499-572124,http://www.joriszorg.nl
Zorggroep Liante,Organisatie,"Sickengaoord 1, Wolvega",0516-568770,https://www.liante.nl
Menzis,Zorgverzekeringen,"Lawickse Allee 130, Wageningen",088-2224040,https://www.menzis.nl
Apotheek Kerkstraat,Farmacie,"Kerkstraat 6 B, Someren",0493-440836,https://www.apotheekkerkstraat.nl/
Topaz Overduin,Verpleeghuiszorg,"Nachtegaallaan 5, Katwijk",071-4056111,http://www.topaz.nl
"Cordaan, Woonlocatie Verzorgingshuizen en verpleeghuizen",Organisatie,"De Ruyterkade 7, Amsterdam",020-4356300,http://www.cordaan.nl
Van Neynsel,Organisatie,"Eemweg 114, 's-Hertogenbosch",073-8228000,https://www.vanneynsel.nl
Huisartsenpraktijken Medi-Mere,Organisatie,"Beneluxlaan 573, Almere",036-5329988,https://www.medi-mere.com/home
Zorggroep Oude en Nieuwe Land,Organisatie,"Mr. Zigher ter Steghestraat 9, Steenwijk",0521-539999,http://www.zorggroep-onl.nl
Zorgverlening Het Baken,Organisatie,"Veldbloemenlaan 25, Elburg",0525-680402,http://www.zorgverlening-hetbaken.nl
Aafje Thuiszorg Rotterdam,Wijkverpleging,"Sigrid Undsetweg 222, Rotterdam",088-8233233,http://www.aafje.nl
Libertas Leiden,Organisatie,"Rijnsburgersingel 60, Leiden",071-5168168,https://www.libertasleiden.nl
WZH Thuiszorg Den Haag,Wijkverpleging,"Polanenhof 130, Den Haag",070-7561600,http://www.wzh.nl/thuiszorg
OLVG,Organisatie,"Postbus 95500, Amsterdam",https://www.olvg.nl,https://www.olvg.nl
PZC Dordrecht,Organisatie,"Groen van Prinstererweg 38, Dordrecht",078-6528888,https://pzcdordrecht.nl/
Zonnehuis Wijkverpleging Amstelveen,Wijkverpleging,"Laan van de Helende Meesters 114, Amstelveen",0900-0401441,http://www.zhga.nl
"WZU Veluwe, sector Ouderenzorg",Organisatie,"Nunspeterweg 7, Elburg",0341-252844,http://www.wzuveluwe.nl
"Zorggroep Charim, locatie Revalidatie Veenendaal",Revalidatiezorg,"'t Holle Goed 2, Veenendaal",0800-0711,https://www.zorggroepcharim.nl
Rugpoli Brabant,Medisch specialistische zorg,"Beneluxlaan 59-01, Tilburg",013-7630410,http://www.rugpoli.nl
De Zellingen,Organisatie,"Tsjaikovskistraat 1, Capelle aan den IJssel",010-2665757,http://www.zellingen.nl
Flevoziekenhuis Almere,Medisch specialistische zorg,"Hospitaalweg 1, Almere",036-868 88 88,https://www.flevoziekenhuis.nl
"Dignis, Zorg Thuis Groningen",Wijkverpleging,"Postbus 8089, Groningen",050-4097597,http://www.dignis.nl
WZH Schoorwijck,Verpleeghuiszorg,"Zaagmolenstraat 96, Leidschendam",070-7562300,http://www.wzh.nl/schoorwijck
Thuiszorg Zonnehuisgroep IJssel-Vecht,Wijkverpleging,"Nijenhuislaan 175, Zwolle",038-4574574,https://www.zgijv.nl
Dijklander Ziekenhuis,Organisatie,"Maelsonstraat 3, Hoorn",0229-257257,https://www.dijklander.nl/
Diakonessenhuis,Organisatie,"Postbus 80250, Utrecht",088-2505000,https://www.diakonessenhuis.nl
R.K. Zorgcentrum Roomburgh,Verpleeghuiszorg,"Hof van Roomburgh 46, Leiden",071-5892200,https://www.roomburgh.nl
"Kennemerhart, De Blinkert",Verpleeghuiszorg,"Rockaertshof 66, Haarlem",023-5101600,https://www.kennemerhart.nl/locaties/woonzorgcentrum-de-blinkert-haarlem/
ETZ,Organisatie,"Postbus 90151, Tilburg",013-2210000,https://www.etz.nl
Ziekenhuis Amstelland,Medisch specialistische zorg,"Laan van de Helende Meesters 8, Amstelveen",020-7557000,https://www.ziekenhuisamstelland.nl
Pantein Castella,Verpleeghuiszorg,"Cantheelen 6 200, Cuijk",0485-844400,http://www.zorgcentrapantein.nl
Directzorg Nederland,Organisatie,"De Brauwweg 66, Schiedam",088-3473260,https://www.directzorg.nl
Thuiszorg INIS,Organisatie,"Bonnefanten 93 A, Capelle aan den IJssel",010-8009495,http://thuiszorginis.nl
"Changes GGZ, locatie Promentis",Verslavingszorg,"Kazernelaan 101, Weert",0413-820428,https://www.promentis.nl/
"Zorgbalans, Woonzorglocatie Den Weeligenberg",Verpleeghuiszorg,"Nieuweweg 1, Hillegom",023-8911800,http://www.zorgbalans.nl
"Zorgverlening Het Baken, Woonzorgcentrum De Voord",Verpleeghuiszorg,"Veldbloemenlaan 25, Elburg",0525-680402,http://www.zorgverlening-hetbaken.nl
Envida Wijkzorg Gemeente Meerssen,Wijkverpleging,"Abtstraat 2 A, Maastricht",0900-2233440,https://www.envida.nl
"Zorggroep Ena, Het Huis in de Wei",Verpleeghuiszorg,"Vijverlaan 2, Scherpenzeel",033-2771844,http://www.zorggroepena.nl
Madeliefje Thuiszorg,Wijkverpleging,"Strekkerweg 81, Amsterdam",020-7371829,http://madeliefje-thuiszorg.nl
"Kennemerhart, Overspaarne",Verpleeghuiszorg,"Lansiersstraat 25, Haarlem",023-5430400,https://www.kennemerhart.nl/locaties/woonzorgcentrum-overspaarne-haarlem/
"Laverhof, locatie Sint Barbara",Verpleeghuiszorg,"Eerdsebaan 1 A, Schijndel",073-5443300,http://www.laverhof.nl
"Vivium Zorggroep, locatie De Antonius Hof",Verpleeghuiszorg,"Lange Heul 32, Bussum",035-6924924,http://www.vivium.nl
"IJsselheem, Verpleeghuis Myosotis",Verpleeghuiszorg,"Engelenbergplantsoen 3, Kampen",038-3394400,http://www.ijsselheem.nl
Evean Zorg Thuis - Zaanstreek Zuid,Wijkverpleging,"Tjotterlaan 188, Zaandam",0900-9897,https://www.evean.nl/zorgaanbod/thuiszorg
"Treant, Advies- en BehandelCentrum Weidesteyn",Verpleeghuiszorg,"Dr. G.H. Amshoffweg 4, Hoogeveen",0900-0591,https://www.treant.nl
"Oosterlengte, locatie Old Wolde",Verpleeghuiszorg,"Blijhamsterweg 45, Winschoten",0597-459700,http://www.oosterlengte.nl
"zorggroep Maas en Waal, locatie St. Elisabeth",Verpleeghuiszorg,"Rozenstraat 10, Beneden-Leeuwen",0487-599600,http://www.zmw.nl
"Thuiszorg Noorderboog, regio Meppel",Wijkverpleging,"Werkhorst 36, Meppel",0521-385590,http://www.noorderboog.nl
OBG,Organisatie,"Prof Cornelissenstraat 2, Nijmegen",024-3279279,https://obg.nu/
Zonzorg,Wijkverpleging,"Randstad 21 37, Almere",036-5362074,http://zonzorg.nl
"Argos Zorggroep, Marnix Revalidatiecentrum voor Ouderen",Revalidatiezorg,"Marnixlaan 5, Vlaardingen",010-4494100,http://www.argoszorggroep.nl/huizen/marnix/
"Viattence, locatie Hofje Wendakker",Verpleeghuiszorg,"Wendakker 2, Heerde",0578–668449,https://www.viattence.nl/
U-center,Geestelijke gezondheidszorg,"Julianastraat 23 A, Epen",0800-2224446,https://www.u-center.nl
"Warande, Wooncentrum Heerewegen",Verpleeghuiszorg,"Arnhemse Bovenweg 80, Zeist",030-6938000,http://www.warandeweb.nl
"Internos Thuiszorg, Dordrecht",Wijkverpleging,"Beverwijckstraat 37, Dordrecht",078-6483838,https://www.internosthuiszorg.nl
"Lelie zorggroep, Riederborgh",Verpleeghuiszorg,"Boksdoornstraat 2, Ridderkerk",0180-452500,https://www.leliezorggroep010.nl/riederborgh
Cosis,Organisatie,"Lauwers 17, Assen",088-8393000,https://www.cosis.nu/
Mijzo - Goezate,Verpleeghuiszorg,"Raadhuislaan 4, Werkendam",0183-662400,https://www.mijzo.nl/
Directzorg Brielle,Wijkverpleging,"Voorstraat 33, Brielle",088-3473230,https://www.directzorg.nl
"Zinzia Zorggroep, Verpleeghuis Rumah Kita",Verpleeghuiszorg,"Plein 15 Augustus 1, Wageningen",088-3114200,http://www.zinzia.nl
"Zonnehuisgroep Amstelland, Zonnehuis Westwijk",Verpleeghuiszorg,"Jasmijnlaan 2, Amstelveen",0900-0401441,http://www.zhga.nl
"De Wever, Behandelcentrum de Hazelaar",Verpleeghuiszorg,"Dr. Eijgenraamstraat 3, Tilburg",013-4644100,http://www.dewever.nl
"UMC Groningen (UMCG), locatie Hanzeplein",Medisch specialistische zorg,"Hanzeplein 1, Groningen",050-3616161,https://www.umcg.nl/
"ActiVite, locatie De Ommedijk",Verpleeghuiszorg,"Ommedijk 120, Leiderdorp",071-5412224,http://www.activite.nl
"SZR, Ravestein",Verpleeghuiszorg,"De Wieken 11, Geldermalsen",0800-0588,http://www.szr.nl
"Zorggroep Solis, Verpleeghuis PW Janssen",Verpleeghuiszorg,"Hermelijn 2, Deventer",0570-698200,https://zorggroepsolis.nl/
Thuiszorg De Merwelanden,Wijkverpleging,"Haringvlietstraat 515, Dordrecht",078-6163222,http://www.demerwelanden.nl
"IJsselheem, De Amandelboom",Verpleeghuiszorg,"Wederiklaan 2, Kampen",038-3766540,http://www.ijsselheem.nl
"Swinhove Groep, locatie Swinhove",Verpleeghuiszorg,"Plantageweg 3, Zwijndrecht",078-6255500,http://www.swinhovegroep.nl
"Zonnehuisgroep Amstelland, Zonnehuis De Luwte",Verpleeghuiszorg,"Wimbledonpark 361, Amstelveen",0900-0401441,http://www.zhga.nl
"TSN Zorg, Woonzorgcentrum Voor Anker",Publieke gezondheidszorg,"Hoofdstraat 150, Hoogezand",0598-317417,https://tsnzorg.nl
Verpleegkundige Lana Zorg,Wijkverpleging,"Spoordreef 20-38, Almere",036-3031675,https://vpklanazorg.nl
Bergman Clinics | Huid & Vaten | Heerenveen,Medisch specialistische zorg,"Griend 1, Heerenveen",088-9000500,https://www.bergmanclinics.nl
"Dignis, Woonzorgcentrum De Veldspaat",Verpleeghuiszorg,"Veldspaatstraat 368, Groningen",050-5745100,http://www.dignis.nl/locaties/woonzorgcentrum-de-veldspaat/
"Tangenborgh, Wijkzorg De Schans",Wijkverpleging,"Laan van het Kwekebos 118, Emmen",0591-687410,https://www.tangenborgh.nl/
"Zorggroep Charim,  locatie 't Boveneind",Verpleeghuiszorg,"Prinses Christinaplantsoen 90, Veenendaal",0800-0711,https://www.zorggroepcharim.nl
PZC Revalidatiezorg Dordrecht,Revalidatiezorg,"Groen van Prinstererweg 38, Dordrecht",078-6528888,https://pzcdordrecht.nl/
Sint Anna,Verpleeghuiszorg,"Veerstraat 49 A, Boxmeer",0485-571541,http://www.sintannaboxmeer.nl
Thuiszorg Comfort,Wijkverpleging,"Beethovenlaan 1, Groningen",050-5032553,http://www.thuiszorgcomfort.nl
"ZuidOostZorg, ZorgThuis Drachten",Wijkverpleging,"Burgemeester Wuiteweg 140, Drachten",0800-5717171,http://www.zuidoostzorg.nl
"Zorgbalans, Woonzorglocatie Breezicht",Verpleeghuiszorg,"Keizer Wilhelmstraat 1, IJmuiden",0255-549000,http://www.zorgbalans.nl
"Stichting Samen Zorgen, Zorgcentrum Liefkenshoek",Verpleeghuiszorg,"Hyacintenstraat 23, Heteren",026-4722214,http://www.stgsamenzorgen.nl
"Stichting De Hoven, Zorgcentrum Winkheem",Verpleeghuiszorg,"Borgweg 48, Winsum",0595-441358,http://www.dehoven.nl
"Stichting Waardeburgh, Zorgcentrum Pedaja",Verpleeghuiszorg,"Claversweer 1, Hardinxveld-Giessendam",0184-617722,http://www.waardeburgh.nl
"Innoforte, Woon- en Zorgcentrum De Biesdel",Verpleeghuiszorg,"Biesdelselaan 89, Velp",026-3882000,http://www.innoforte-zorg.nl
"Innoforte, Woon- en Zorgcentrum Oosterwolde",Verpleeghuiszorg,"Middelhagenhof 1, Velp",026-3653800,http://www.innoforte-zorg.nl
"Treant, Woonzorgcentrum Holtingerhof",Verpleeghuiszorg,"Holtingerbrink 62, Emmen",0900-0591,http://www.treant.nl
"Zorggroep Amsterdam Oost, locatie Flevohuis",Verpleeghuiszorg,"Kramatplantsoen 263, Amsterdam",020-5925252,http://www.zgao.nl
Zorg op Maat,Wijkverpleging,"Rhijnspoor 251, Capelle aan den IJssel",010-2123710,http://www.zorg-op-maat.nl
"Vivantes, verpleeghuis en zorgwoningen La Famille",Verpleeghuiszorg,"Aelserhof 51, Elsloo",046-4113500,http://www.vivantes.nl
"Sevagram, Geriatrisch Revalidatiecentrum Plataan",Revalidatiezorg,"Henri Dunantstraat 3, Heerlen",045-5602702,http://www.sevagram.nl
"IJsselheem, Zorg- en Wooncentrum De Bongerd",Verpleeghuiszorg,"Bongerd 32, Hattem",038-4445851,http://www.hanzeheerd.nl
"Treant, Woonzorgcentrum Olden Kinholt",Verpleeghuiszorg,"Kemperstraat 2, Hoogeveen",0900-0591,http://www.treant.nl
